#! IncludeBoosted
# This file contains a number of gems, which are required for the activation of passive abilities.
# -----------------------------------------------
# Comment;Id;Gems;BoostedVersion(s)
# String;Int32;UInt8;Int32[]
# -----------------------------------------------
DFFOO AC;11000;0;11001, 11002, 11003, 11004, 11005, 11006, 11007, 11008, 11009, 11010, 11011, 11012, 11013, 11014, 11015, 11016, 11017, 11018, 11019, 11020, 11021, 11022, 11023
Chocobo GP;11001;0;
OG Ninostyle;11002;0;
EC Infantryman;11003;0;
EC Dress;11004;0;
EC SOLDIER;11005;0;
EC Masamune;11006;0;
EC Battlfiend;11007;0;
EC Maritime Sailor;11008;0;
EC Rider;11009;0;
EC Mystic Coat;11010;0;
EC Bandaged Coat;11011;0;
EC Official Festive;11012;0;
EC Zidane;11013;0;
EC Saber Style;11014;0;
EC Glavenus Armor;11015;0;
EC Bahamut;11016;0;
EC Locke;11017;0;
EC Holiday;11018;0;
EC New Year;11019;0;
EC Erdrick's Armor;11020;0;
EC Advent Children;11021;0;
EC Equilibrium;11022;0;
EC Scanner Ensemble;11023;0;
Punisher Start;12089;2;
Prime Start;12090;4;
Relentless Punisher;12091;5;
