#! IncludeBoosted
# This file contains a number of gems, which are required for the activation of passive abilities.
# -----------------------------------------------
# Comment;Id;Gems;BoostedVersion(s)
# String;Int32;UInt8;Int32[]
# -----------------------------------------------
Cure;12000;2;12001, 12002, 12003
Cura;12001;2;
Regen;12002;2;
Curaga;12003;2;
Pancea;12004;2;12005, 12006
Stona;12005;2;
Esuna;12006;6;
Barrier;12007;2;12008, 12009, 12010
MBarrier;12008;2;
Reflect;12009;2;
Wall;12010;2;
Raise;12011;4;12012
Arise;12012;4;
Haste;12013;4;12014, 12015
Slow;12014;2;
Stop;12015;2;
Confuse;12016;3;12017
Berserk;12017;2;
Fire;12018;2;12019, 12020
Fira;12019;2;
Firaga;12020;2;
Blizzard;12021;2;12022, 12023
Blizzara;12022;2;
Blizzaga;12023;2;
Thunder;12024;2;12025, 12026
Thundara;12025;2;
Thundaga;12026;2;
Freeze;12027;3;12028, 12029, 12030
Break;12028;3;
Tornado;12029;3;
Flare;12030;3;
Ultima;12031;15;
ALL;12032;10;
HP Absorb;12033;15;
MP Absorb;12034;10;
MP Turbo Lvl 1;12035;2;12036, 12037, 12038
MP Turbo Lvl 2;12036;3;
MP Turbo Lvl 3;12037;4;
MP Turbo ★;12038;6;
Mag Counter Lvl 1;12039;3;12040, 12041, 12042
Mag Counter Lvl 2;12040;2;
Mag Counter Lvl 3;12041;2;
Mag Counter ★;12042;2;
Counter Atk Lvl 1;12043;3;12044, 12045, 12046
Counter Atk Lvl 2;12044;2;
Counter Atk Lvl 3;12045;2;
Counter Atk ★;12046;2;
Cover Lvl 1;12047;4;12048, 12049, 12050
Cover Lvl 2;12048;2;
Cover Lvl 3;12049;2;
Cover ★;12050;2;
HP Plus Lvl 1;12051;2;12052, 12053
HP Plus Lvl 2;12052;4;
HP Plus ★;12053;4;
MP Plus Lvl 1;12054;2;12055, 12056
MP Plus Lvl 2;12055;4;
MP Plus ★;12056;4;
Long Range;12057;14;
EXP Plus Lvl 1;12058;0;12059, 12060
EXP Plus Lvl 2;12059;4;
EXP Plus Lvl ★;12060;4;
Strength Up Lvl 1;12061;4;12062, 12063
Strength Up Lvl 2;12062;2;
Strength Up ★;12063;4;
Magic Up Lvl 1;12064;4;12065, 12066
Magic Up Lvl 2;12065;2;
Magic Up ★;12066;4;
Assess;12067;5;
Steal;12068;5;
D. Blow;12069;8;
Double Cut;12070;10;
Slash All;12071;10;
Warmup;12072;15;
Lightfoot;12073;5;
Mirror Ward;12074;10;
Mercenary;12075;6;
Bounty Hunter;12076;6;
Combat Medic;12077;4;
Field Medic;12078;6;
Instinct;12079;6;
Payday;12080;10;
Mental Discipline;12081;10;
Sharp Senses;12082;8;
Toxin Ward;12083;7;
Seal Ward;12084;5;
Weatherproof;12085;8;
Headstart;12086;4;
Gaia's Blessing;12087;6;
Adrenaline;12088;4;
