# This file contains a set of game armors.
# -----------------------------------------------
# Comment;Id;P.Def;P.Eva;M.Def;M.Eva
# String;Int32;Int32;Int32;Int32;Int32
# -----------------------------------------------
Restore Materia;11000;0;0;0;0
Heal Materia;11001;0;0;0;0
Barrier Materia;11002;0;0;0;0
Revive Materia;11003;0;0;0;0
Time Materia;11004;0;0;0;0
Mystify Materia;11005;0;0;0;0
Fire Materia;11006;0;0;0;0
Ice Materia;11007;0;0;0;0
Thunder Materia;11008;0;0;0;0
Contain Materia;11009;0;0;0;0
Ultima Materia;11010;0;0;0;0
ALL Materia;11011;0;0;0;0
HP Absorb Materia;11012;0;0;0;0
MP Absorb Materia;11013;0;0;0;0
MP Turbo Materia;11014;0;0;0;0
Mag Counter Materia;11015;0;0;0;0
Counter Atk Materia;11016;0;0;0;0
Cover Materia;11017;0;0;0;0
HP Plus Materia;11018;0;0;0;0
MP Plus Materia;11019;0;0;0;0
Long Range Materia;11020;0;0;0;0
Exp Plus Materia;11021;0;0;0;0
Strength Up Materia;11022;0;0;0;0
Magic Up Materia;11023;0;0;0;0
Assess Materia;11024;0;0;0;0
Steal Materia;11025;0;0;0;0
Deathblow Materia;11026;0;0;0;0
Double Cut Materia;11027;0;0;0;0
Slash All Materia;11028;0;0;0;0
Bronze Bangle;12016;0;6;0;2
Iron Bangle;12017;0;5;0;5
Mythril Bangle;12018;0;7;0;8
Silver Armlet;12019;0;10;0;10
Diamond Bangle;12020;2;15;0;8
Rune Armlet;12021;0;8;2;15
Adaman Bangle;12022;5;0;5;0
Chocobracelet;12023;0;24;0;24
Wizard Bracelet;12024;0;12;0;25
Warrior Bangle;12025;0;25;12;0
Gigas Armlet;12026;3;15;3;15
Imperial Guard;12027;0;26;0;17
Dragon Armlet;12028;0;23;0;20
Minerva Band;12029;0;23;5;30
Escort Guard;12030;5;30;0;23
Patchwork Hat;12031;0;0;4;0
Traveler's Hood;12032;0;0;8;0
Sector Guard Hat;12033;0;0;10;0
Scrap Helm;12034;1;0;13;0
Mythril Helm;12035;0;0;16;2
Carbon Bandana;12036;0;2;19;0
Sentry Helm;12037;0;0;21;0
3rd Class Helm;12038;1;1;25;1
Wizard Hat;12039;0;0;30;3
Warrior's Visor;12040;3;0;32;0
Imperial Helm;12041;0;0;37;0
2nd Class Helm;12042;1;1;44;1
Merc Headband;12043;2;0;50;2
Patchwork Cloak;12044;5;0;0;0
Traveler's Cloak;12045;9;0;0;1
Sector Guard Vest;12046;12;1;0;0
Scrap Armor;12047;16;0;0;0
Mythril Armor;12048;20;0;2;0
Carbon Vest;12049;24;2;0;0
Sentry Armor;12050;29;0;0;0
3rd Class Uniform;12051;33;2;2;2
Wizard Robe;12052;35;0;4;4
Warrior Armor;12053;46;2;0;0
Imperial Armor;12054;50;0;10;0
2nd Class Uniform;12055;48;4;4;4
Merc Outfit;12056;55;10;10;10
