# This file contains a set of bonuses of equipment.
# -----------------------------------------------
# Comment;Id;Dexterity;Strength;Magic;Will;AttackElement;GuardElement;AbsorbElement;HalfElement;WeakElement
# String;Int32;Byte;Byte;Byte;Byte;Byte;Byte;Byte;Byte;Byte
# -----------------------------------------------
Stat Set 11000;11000;0;0;2;2;0;0;0;0;0
Stat Set 11001;11001;0;0;0;4;0;0;0;0;0
Stat Set 11002;11002;0;1;1;1;0;0;0;0;0
Stat Set 11003;11003;0;0;3;0;0;0;0;0;0
Stat Set 11004;11004;0;0;0;3;0;0;0;0;0
Stat Set 11005;11005;3;0;0;0;0;0;0;0;0
Stat Set 11006;11006;0;0;2;0;1;0;0;0;0
Stat Set 11007;11007;0;0;2;0;2;0;0;0;0
Stat Set 11008;11008;0;0;2;0;4;0;0;0;0
Stat Set 11009;11009;0;0;2;0;40;0;0;0;0
Stat Set 11010;11010;0;0;5;0;0;0;0;0;0
Stat Set 11011;11011;1;1;1;1;0;0;0;0;0
Stat Set 11012;11012;2;2;0;0;0;0;0;0;0
Stat Set 11013;11013;0;0;2;2;0;0;0;0;0
Stat Set 11014;11014;0;0;0;0;0;0;0;0;0
Stat Set 11015;11015;0;0;4;0;0;0;0;0;0
Stat Set 11016;11016;0;4;0;0;0;0;0;0;0
Stat Set 11017;11017;0;2;0;2;0;0;0;0;0
Stat Set 11018;11018;0;0;0;0;0;0;0;0;0
Stat Set 11019;11019;0;0;0;0;0;0;0;0;0
Stat Set 11020;11020;0;1;1;0;0;0;0;0;0
Stat Set 11021;11021;4;0;0;0;0;0;0;0;0
Stat Set 11022;11022;0;0;0;0;0;0;0;0;0
Stat Set 11023;11023;0;0;0;0;0;0;0;0;0
Stat Set 11024;11024;5;0;0;0;0;0;0;0;0
Stat Set 11025;11025;0;0;0;10;0;0;0;0;0
Stat Set 11026;11026;0;1;0;0;0;0;0;0;0
Stat Set 11027;11027;1;0;0;0;0;0;0;0;0
Stat Set 11028;11028;0;0;0;1;0;0;0;0;0
Stat Set 12016;12016;0;0;0;0;0;0;0;0;0
Stat Set 12024;12024;0;0;0;0;7;0;0;0;0
Stat Set 12028;12028;0;0;0;0;0;0;0;7;0
Stat Set 12033;12033;0;0;0;0;0;0;0;0;0
Stat Set 12035;12035;0;0;0;0;0;0;0;0;0
Stat Set 12039;12039;0;0;0;0;0;0;0;128;0
Stat Set 12042;12042;0;0;0;0;5;0;0;0;0
Stat Set 12043;12043;0;0;0;0;0;0;0;0;0
Stat Set 12051;12051;1;1;1;1;0;0;0;0;0
Stat Set 12052;12052;0;0;3;0;0;0;0;0;0
Stat Set 12053;12053;0;3;0;0;0;0;0;0;0
Stat Set 12054;12054;0;2;0;2;0;0;0;0;0
Stat Set 12055;12055;2;2;2;2;0;0;0;0;0
