# This file contains base stats of characters.
# -----------------------------------------------
# Comment;Id;Dexterity;Strength;Magic;Will;Gems
# String;Int32;UInt8;UInt8;UInt8;UInt8;UInt8
# -----------------------------------------------
Kuja;12;15;12;26;19;14
Fratley;13;19;22;17;18;18
Lani;14;24;21;17;13;18
Haagen;15;19;22;12;19;17
Kohel;16;17;23;13;22;17
Aria;17;25;18;19;23;16
Ophelia;18;20;21;19;18;16
Dan;19;25;16;11;20;18
Jeame;20;20;12;21;22;16
Puck;21;19;17;20;19;16
Mikoto;22;25;20;20;23;18
Gerome;23;16;24;12;21;17
Ruby;24;21;14;23;17;14
Baku;25;18;18;18;18;14
