# This file contains a set of item shops.
# -----------------------------------------------
# Comment;Id;Items
# String;Int32;Int32[]
# -----------------------------------------------
Dali (Disc 1-4);0;1, 2, 10010, 10011, 16, 17, 10008, 10009, 57, 70, 88, 89, 102, 112, 114, 136, 137, 149, 150, 177;# Dali (Disc 1-4)
Lindblum (Disc 1);1;1, 2, 3, 10010, 10011, 17, 10009, 10008, 31, 57, 79, 89, 90, 102, 103, 115, 116, 138, 151, 178;# Lindblum (Disc 1)
Burmecia (Disc 1-4);2;80, 90, 104, 115, 116, 117, 139, 152, 178, 236, 240, 241, 242, 243, 244, 253, 10013, 10014, 10015, 10016;# Burmecia (Disc 1-4)
Summit Station (Disc 2);3;51, 58, 90, 103, 104, 115, 116, 117, 136, 138, 139, 152, 178, 236, 240, 241, 242, 243, 244, 253, 10013, 10014, 10015, 10016, 10017;# Summit Station (Disc 2)
Treno (Disc 2);4;1, 2, 3, 10012, 18, 10009, 32, 51, 58, 71, 72, 73, 79, 80, 89, 90, 91, 104, 117, 118, 139, 150, 151, 152, 153, 178, 179;# Treno (Disc 2)
Lindblum (Disc 2);6;1, 2, 3, 10010, 10011, 20, 10008, 10009, 33, 52, 59, 71, 72, 73, 89, 90, 91, 92, 104, 105, 116, 117, 118, 119, 140, 150, 151, 152, 153, 154, 179, 180;# Lindblum (Disc 2)
Fossile Roo (Disc 2);7;20, 33, 52, 59, 92, 105, 118, 119, 140, 153, 154, 155, 180, 236, 240, 241, 242, 243, 244, 247, 248, 253, 10013, 10014, 10015, 10016, 10017, 10018, 10019, 10020, 10021;# Fossile Roo (Disc 2)
Conde Petie (Disc 2-3);8;10011, 10012, 42, 52, 59, 71, 72, 73, 74, 81, 92, 93, 120, 121, 155, 156;# Conde Petie (Disc 2-3)
Madain Sari (Disc 2-4);10;1, 2, 3, 4, 10011, 10012, 42, 52, 64, 85, 93, 120, 121, 155, 156, 157, 236, 240, 241, 242, 243, 244, 245, 248, 253, 10013, 10014, 10015, 10016, 10017, 10018, 10019, 10020, 10021;# Madain Sari (Disc 2-4)
Alexandria (Disc 3-4);11;3, 4, 20, 10009, 33, 34, 41, 42, 59, 60, 65, 71, 72, 73, 74, 85, 90, 91, 92, 93, 104, 105, 120, 121, 122, 139, 140, 141, 156, 157, 158, 180, 181;# Alexandria (Disc 3-4)
Lindblum (Disc 3-4);13;21, 33, 34, 10012, 42, 53, 60, 65, 75, 81, 85, 94, 105, 122, 123, 124, 141, 156, 157, 158, 180, 181, 236, 237, 240, 241, 242, 243, 244, 245, 247, 248, 253, 10013, 10014, 10015, 10016, 10017, 10018, 10019, 10020, 10021;# Lindblum (Disc 3-4)
Oeilvert (Disc 3);14;22, 35, 43, 53, 60, 66, 75, 82, 85, 94, 95, 105, 106, 123, 124, 125, 141, 142, 158, 159, 181, 182, 237, 240, 242, 243, 244, 245, 247, 248, 253, 10013, 10014, 10015, 10016, 10017, 10018, 10019, 10020, 10021;# Oeilvert (Disc 3)
Esto Gaza (Disc 3);15;4, 5, 22, 23, 36, 44, 53, 61, 67, 75, 76, 82, 86, 95, 96, 97, 106, 107, 126, 127, 142, 159, 160, 182, 183, 237, 240, 245, 246, 247, 248, 253, 10013, 10014, 10015, 10016, 10017, 10018, 10019, 10020, 10021;# Esto Gaza (Disc 3)
Ipsen's Castle (Disc 3-4);16;2, 17, 10009, 32, 10010, 10011, 42, 52, 58, 65, 74, 80, 86, 96, 97, 107, 127, 128, 142, 143, 160, 161, 183, 184, 236, 237, 240, 241, 242, 243, 244, 245, 246, 248, 253, 10013, 10014, 10015, 10016, 10017, 10018, 10019, 10020, 10021;# Ipsen's Castle (Disc 3-4)
Bran Bal (Disc 3);18;1, 2, 3, 4, 5, 6, 25, 38, 10010, 10011, 47, 54, 83, 86, 99, 108, 129, 130, 131, 144, 162, 163, 186, 237, 240, 241, 242, 243, 244, 246, 247, 248, 253, 10013, 10014, 10015, 10016, 10017, 10018, 10019, 10020, 10021;# Bran Bal (Disc 3)
Esto Gaza (Disc 3);21;3, 18, 32, 43, 54, 58, 81, 92, 104, 140, 154, 180, 236, 237, 240, 241, 242, 243, 244, 245, 246, 247, 248, 253, 10013, 10014, 10015, 10016, 10017, 10018, 10019, 10020, 10021;# Esto Gaza (Disc 3)
Desert Palace (Disc 3);22;22, 35, 43, 53, 60, 66, 75, 82, 85, 86, 94, 95, 106, 123, 124, 125, 142, 158, 159, 182, 236, 237, 240, 241, 242, 243, 245, 247, 248, 253, 10013, 10014, 10015, 10016, 10017, 10018, 10019, 10020, 10021;# Desert Palace (Disc 3)
Item Shop 1 (Disc 1-4);25;236, 240, 243, 244, 253, 10013, 10014;# Item Shop 1 (Disc 1-4)
Item Shop 2 (Disc 1-3);26;236, 240, 241, 242, 243, 244, 253, 10013, 10014, 10015;# Item Shop 2 (Disc 1-3)
Item Shop 3 (Disc 2-3);27;236, 240, 241, 242, 243, 244, 248, 253, 10013, 10014, 10015, 10016;# Item Shop 3 (Disc 2-3)
Item Shop 4 (Disc 3-4);28;236, 237, 240, 241, 242, 243, 244, 247, 248, 253, 10013, 10014, 10015, 10016, 10017;# Item Shop 4 (Disc 3-4)
Item Shop 5 (Disc 3-4);29;236, 237, 240, 241, 242, 243, 244, 245, 247, 248, 253, 10013, 10014, 10015, 10016, 10017, 10018, 10019;# Item Shop 5 (Disc 3-4)
Item Shop 6 (Disc 4);30;236, 237, 240, 241, 242, 243, 244, 245, 246, 247, 248, 253, 10013, 10014, 10015, 10016, 10017, 10018, 10019, 10020, 10021;# Item Shop 6 (Disc 4)
