KEY,English(US),English(UK),Japanese,Spanish,French,German,Italian
Symbol,US,UK,JP,ES,FR,GR,IT
Name,English,English,日本語,Deutsch,Français,Italiano,Español
,,,,,,,
Pause,pause_us_uk_jp_fr_gr,pause_us_uk_jp_fr_gr,pause_us_uk_jp_fr_gr,pause_es_it,pause_us_uk_jp_fr_gr,pause_us_uk_jp_fr_gr,pause_es_it
TapToResume,Tap here to resume,Tap to resume,タップでゲームに戻ります,Toca aquí para continuar.,Touchez pour revenir au jeu.,Zum Fortfahren hier tippen.,Tocca per continuare
,,,,,,,
Menu,Menu,Menu,メニュー,Menú,Menu,Menü,Menu
ItemHelp,Use and Arrange items.\nView key items you have\nreceived in game.,Use and Arrange items.\nView key items you have\nreceived in game.,アイテムやだいじなもの\nをあつかいます。,Comandos relativos a los\nobjetos y las cosas importantes.,Affiche les objets et les trésors\nrécupérés dans le jeu.,Hier werden Items oder wertvolle\nGegenstände verwaltet.,Visualizza gli\noggetti e le rarità.
AbilityHelp,Use action abilites.\nEquip support abilities.,Use action abilites.\nEquip support abilities.,キャラクタのアクションアビリティを\n使用したり、サポートアビリティを\n装備したりします。,Permite usar habilidades de\ncomando y activar habilidades\nde apoyo.,Utilise les compétences de combat\net sélectionne les compétences\nde soutien.,"Hier können Action-Abilitys\nbenutzt, oder die Charaktere\nmit Hilfs-Abilitys ausgerüstet\nwerden.",Permette di usare le\nabilità di azione e di\nattivare le abilità di\nsupporto.
EquipHelp,Change the character’s equipment.,Change the character’s equipment.,キャラクタの装備を\n変更します。,Permite cambiar el equipo\nde los personajes.,Modifie l’équipement\ndes personnages.,Hier kann die Ausrüstung der\nCharaktere geändert werden.,Permette di scegliere\nl’equipaggiamento del\npersonaggio.
StatusHelp,View character’s parameters\nand learned abilities.,View character’s parameters\nand learned abilities.,キャラクタのつよさやおぼえた\nアビリティを確認できます。,Muestra la capacidad\nde los personajes y las\nhabilidades aprendidas.,Affiche les caractéristiques et\nles compétences des personnages.,Hier werden die Parameter der\nCharaktere und ihre erlernten\nAbilitys angezeigt.,Visualizza lo status\ndel personaggio e le\nabilità apprese.
OrderHelp,Rearrange the party order.\nSet battle position.,Rearrange the party order.\nSet battle position.,パーティーのならぶじゅんばんや\n前列／後列を変更します。,Permite cambiar el orden y la\nposición (vanguardia/retaguardia)\nen la batalla.,Change l’ordre des personnages\net place 1 personnage en avant/\nen arrière de la formation.,Hier kann die Position der\neinzelnen Gruppenmitglieder\ngeändert werden.,Cambia lo schieramento dei\npersonaggi in battaglia e\ninverte 1a e 2a linea.
CardHelp,View cards.,View cards.,もっているカードを確認したり、\nすてたりできます。,Muestra las cartas en tu\npoder y permite desecharlas.,Affiche la liste des cartes\nacquises dans le jeu et permet\nde jeter des cartes.,Hier können die erhaltenen\nKarten betrachtet oder\nweggeworfen werden.,Visualizza le carte possedute.\nÈ possibile anche buttarle.
ConfigHelp,View the game configuration.,View the game configuration.,ゲームシステムの\n設定をします。,Permite adaptar el\njuego a tu gusto.,Configure les paramètres\nde jeu.,Hier können verschiedene\nSpieloptionen eingestellt werden.,Permette d’impostare\nil sistema di gioco.
OrderTargetHelp,Select same character twice to choose\n[A85038]front row or back row[383838] in battle.\nSelect two different characters to\n[A85038]switch places[383838].[ENDN],Select same character twice to choose\n[A85038]front row or back row[383838] in battle.\nSelect two different characters to\n[A85038]switch places[383838].[ENDN],キャラクタを選んでください。\n同じキャラクタで[A85038]前列／後列[383838]が\n別のキャラクタで[A85038]ならぶじゅんばん[383838]が\n変更されます。,Elige la misma posición para\ncambiar entre [A85038]vanguardia y\nretaguardia[383838], u otra para\nmover el personaje.,Choisissez un personnage.\nSi c’est le même, [A85038]il change de\nposition[383838]. Si c’en est un autre
Deck,Deck,Deck,デッキ,Cubierta,Pont,Deck,Coperta
Help,? Help,? Help,? ヘルプ,? AYUDA,? AIDE,? HILFE,? GUIDA
HelpDesp,[DBTN=SELECT]  Help,[DBTN=SELECT]  Help,[DBTN=SELECT]  ヘルプ,[DBTN=SELECT]  AYUDA,[DBTN=SELECT]  AIDE,[DBTN=SELECT]  HILFE,[DBTN=SELECT]  GUIDA
HelpCaption,caption_help_us_uk_jp,caption_help_us_uk_jp,caption_help_us_uk_jp,caption_help_es,caption_help_fr,caption_help_gr,caption_help_it
AtePressButton,icon_ate_us_uk_jp,icon_ate_us_uk_jp,icon_ate_us_uk_jp,icon_ate_es_fr,icon_ate_us_uk_jp,icon_ate_us_uk_jp,icon_ate_gr_it
AteHudIcon,button_ate_us_uk_jp_fr_gr,button_ate_us_uk_jp_fr_gr,button_ate_us_uk_jp_fr_gr,button_ate_es,button_ate_us_uk_jp_fr_gr,button_ate_us_uk_jp_fr_gr,button_ate_it
,,,,,,,
Item,Item,Item,アイテム,Objetos,Objets,Item,Oggetti
Use,Use,Use,つかう,Usar,Utiliser,Benutzen,Usa
Arrange,Arrange,Arrange,せいとん,Ordenar,Ranger,Ordnen,Ordina
KeyItem,Key,Key,だいじなもの,Importantes,Trésors,Wertvolles,Rarità
Auto,Auto,Auto,じどうで,Auto,Auto,Automatisch,Auto
Manual,Manual,Manual,じぶんで,Manual,Manuel,Manuell,Manuale
UseHelp,Use items.[ENDN],Use items.[ENDN],アイテムを使用します。[ENDN],Permite utilizar un objeto.[ENDN],Utilise des objets.[ENDN],Items können benutzt werden.[ENDN],Permette di usare gli oggetti.[ENDN]
