#! IncludeBoosted
# This file contains a number of gems, which are required for the activation of passive abilities.
# -----------------------------------------------
# Comment;Id;Gems;BoostedVersion(s)
# String;Int32;UInt8;Int32[]
# -----------------------------------------------
Adversity;10000;1;
Dragoon Team;10001;10;
Auto-Protect;10002;14;
Auto-Shell;10003;14;
Cheat Fate;10004;4;
Fidget;10005;1;
Catalysis;10006;10;
Pyrotechnics;10007;4;
Chemistry;10008;9;
Utsusemi;10009;6;
Power Volley;10010;2;
